"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 12 10:25:11 UTC 2025","Tue Aug 12 10:25:24 UTC 2025","12999","chromium","","","","","tests Verify Create Account Page @smoke",""
"passed","Tue Aug 12 10:25:24 UTC 2025","Tue Aug 12 10:25:34 UTC 2025","9805","chromium","","","","","tests Verify Login Page @smoke",""
