"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 12 10:57:36 UTC 2025","Tue Aug 12 10:57:48 UTC 2025","11756","chromium","","","","","tests Verify Create Account Page @smoke",""
"passed","Tue Aug 12 10:57:48 UTC 2025","Tue Aug 12 10:57:58 UTC 2025","10095","chromium","","","","","tests Verify Login Page @smoke",""
